"id","courses_id","availability_id","time_start","time_end","spots","pontifex_id","spots_taken","created_at","updated_at"
21687,24,893,"19:00:00","20:00:00",6,20129,"","","2020-10-05 16:00:05"
21688,24,894,"19:00:00","20:00:00",8,20130,"","","2020-10-05 16:00:07"
21689,24,895,"19:00:00","20:00:00",10,20131,"","","2020-10-05 16:00:08"
21691,24,907,"17:30:00","18:30:00",5,19112,"","","2020-10-05 16:00:04"
21692,24,908,"17:30:00","18:30:00",8,19113,"","","2020-10-05 16:00:06"
21695,24,919,"19:00:00","20:00:00",9,18904,"","","2020-10-05 16:00:06"
21696,24,920,"19:00:00","20:00:00",9,18905,"","","2020-10-05 16:00:08"
21699,24,934,"19:00:00","20:00:00",7,18689,"","","2020-10-05 16:00:04"
21700,24,935,"19:00:00","20:00:00",5,19975,"","","2020-10-05 16:00:05"
21701,24,936,"19:00:00","20:00:00",12,18690,"","","2020-10-05 16:00:07"
21702,24,937,"19:00:00","20:00:00",12,19976,"","","2020-10-05 16:00:07"
21791,24,1313,"19:00:00","20:00:00",10,24254,"","","2020-10-05 16:00:04"
21792,24,1314,"19:00:00","20:00:00",5,18584,"","","2020-10-05 16:00:04"
21794,24,1316,"16:00:00","17:00:00",12,19863,"","","2020-10-05 16:00:04"
21795,24,1317,"19:00:00","20:00:00",4,19778,"","","2020-10-05 16:00:04"
21796,24,1318,"16:00:00","17:00:00",12,24258,"{""2"":1}","","2020-10-05 16:00:04"
21797,24,1319,"16:00:00","17:00:00",4,18311,"{""11"":1}","","2020-10-05 16:00:04"
21798,24,1320,"10:00:00","11:00:00",10,19929,"","","2020-10-05 16:00:04"
21800,24,1322,"16:00:00","17:00:00",12,19864,"","","2020-10-05 16:00:04"
21801,24,1323,"19:00:00","20:00:00",8,18547,"","","2020-10-05 16:00:04"
21802,24,1324,"19:00:00","20:00:00",12,24260,"{""11"":1}","","2020-10-05 16:00:04"
21803,24,1325,"19:00:00","20:00:00",7,18585,"","","2020-10-05 16:00:04"
21804,24,1326,"16:00:00","17:00:00",13,19865,"","","2020-10-05 16:00:04"
21805,24,1327,"19:00:00","20:00:00",10,19779,"","","2020-10-05 16:00:04"
21806,24,1328,"16:00:00","17:00:00",6,24263,"","","2020-10-05 16:00:04"
21807,24,1329,"10:00:00","11:00:00",13,19930,"","","2020-10-05 16:00:04"
21808,24,1330,"16:00:00","17:00:00",12,19866,"","","2020-10-05 16:00:04"
21809,24,1331,"19:00:00","20:00:00",12,24266,"","","2020-10-05 16:00:04"
21812,24,1334,"16:00:00","17:00:00",12,19867,"","","2020-10-05 16:00:04"
21813,24,1335,"19:00:00","20:00:00",11,19780,"{""11"":1}","","2020-10-05 16:00:04"
21814,24,1336,"16:00:00","17:00:00",13,24269,"","","2020-10-05 16:00:04"
21815,24,1337,"10:00:00","11:00:00",12,19931,"","","2020-10-05 16:00:04"
21816,24,1338,"16:00:00","17:00:00",12,19868,"","","2020-10-05 16:00:04"
21817,24,1339,"19:00:00","20:00:00",13,24271,"","","2020-10-05 16:00:05"
21818,24,1340,"19:00:00","20:00:00",8,18587,"","","2020-10-05 16:00:05"
21819,24,1341,"16:00:00","17:00:00",11,19869,"","","2020-10-05 16:00:05"
21820,24,1342,"19:00:00","20:00:00",11,19781,"","","2020-10-05 16:00:05"
21821,24,1343,"16:00:00","17:00:00",13,24274,"","","2020-10-05 16:00:05"
21822,24,1344,"16:00:00","17:00:00",4,18312,"","","2020-10-05 16:00:05"
21823,24,1345,"10:00:00","11:00:00",13,19932,"","","2020-10-05 16:00:05"
21824,24,1346,"16:00:00","17:00:00",13,19870,"","","2020-10-05 16:00:05"
21825,24,1347,"19:00:00","20:00:00",13,24277,"","","2020-10-05 16:00:05"
21826,24,1348,"19:00:00","20:00:00",9,18588,"","","2020-10-05 16:00:05"
21827,24,1349,"16:00:00","17:00:00",12,19871,"","","2020-10-05 16:00:05"
21828,24,1350,"19:00:00","20:00:00",12,19782,"","","2020-10-05 16:00:05"
21829,24,1351,"16:00:00","17:00:00",11,24283,"","","2020-10-05 16:00:05"
21830,24,1352,"10:00:00","11:00:00",13,19933,"","","2020-10-05 16:00:05"
21831,24,1353,"16:00:00","17:00:00",13,19872,"","","2020-10-05 16:00:05"
21832,24,1354,"19:00:00","20:00:00",12,18548,"","","2020-10-05 16:00:05"
21833,24,1355,"19:00:00","20:00:00",13,24285,"","","2020-10-05 16:00:05"
21834,24,1356,"19:00:00","20:00:00",10,18589,"","","2020-10-05 16:00:05"
21836,24,1358,"16:00:00","17:00:00",13,19873,"","","2020-10-05 16:00:06"
21837,24,1359,"19:00:00","20:00:00",12,19783,"","","2020-10-05 16:00:06"
21838,24,1360,"16:00:00","17:00:00",12,24288,"","","2020-10-05 16:00:06"
21839,24,1363,"16:00:00","17:00:00",13,19874,"","","2020-10-05 16:00:06"
21840,24,1364,"19:00:00","20:00:00",13,24290,"","","2020-10-05 16:00:06"
21841,24,1365,"19:00:00","20:00:00",9,18590,"","","2020-10-05 16:00:06"
21842,24,1366,"16:00:00","17:00:00",12,19875,"","","2020-10-05 16:00:06"
21843,24,1367,"19:00:00","20:00:00",12,19784,"","","2020-10-05 16:00:06"
21844,24,1368,"16:00:00","17:00:00",13,24293,"","","2020-10-05 16:00:06"
21845,24,1369,"16:00:00","17:00:00",9,18313,"","","2020-10-05 16:00:06"
21846,24,1370,"10:00:00","11:00:00",13,19935,"","","2020-10-05 16:00:06"
21847,24,1371,"16:00:00","17:00:00",13,19876,"","","2020-10-05 16:00:06"
21848,24,1372,"19:00:00","20:00:00",13,24295,"","","2020-10-05 16:00:06"
21849,24,1373,"19:00:00","20:00:00",9,18591,"","","2020-10-05 16:00:06"
21851,24,1375,"16:00:00","17:00:00",13,19877,"","","2020-10-05 16:00:06"
21852,24,1376,"19:00:00","20:00:00",13,19785,"","","2020-10-05 16:00:07"
21853,24,1377,"16:00:00","17:00:00",13,24298,"","","2020-10-05 16:00:07"
21854,24,1378,"10:00:00","11:00:00",13,19936,"","","2020-10-05 16:00:07"
21855,24,1379,"16:00:00","17:00:00",13,19878,"","","2020-10-05 16:00:07"
21856,24,1380,"19:00:00","20:00:00",12,24300,"","","2020-10-05 16:00:07"
21857,24,1381,"19:00:00","20:00:00",10,18592,"","","2020-10-05 16:00:07"
21858,24,1382,"16:00:00","17:00:00",12,19879,"","","2020-10-05 16:00:07"
21859,24,1383,"19:00:00","20:00:00",13,19786,"","","2020-10-05 16:00:07"
21860,24,1384,"16:00:00","17:00:00",13,24303,"","","2020-10-05 16:00:07"
21861,24,1385,"10:00:00","11:00:00",13,19937,"","","2020-10-05 16:00:07"
21862,24,1386,"16:00:00","17:00:00",13,19880,"","","2020-10-05 16:00:07"
21863,24,1387,"19:00:00","20:00:00",13,24305,"","","2020-10-05 16:00:07"
21864,24,1388,"19:00:00","20:00:00",10,18593,"","","2020-10-05 16:00:07"
21866,24,1390,"16:00:00","17:00:00",13,19881,"","","2020-10-05 16:00:07"
21867,24,1391,"19:00:00","20:00:00",13,19787,"","","2020-10-05 16:00:08"
21868,24,1392,"16:00:00","17:00:00",12,24308,"","","2020-10-05 16:00:08"
21869,24,1393,"16:00:00","17:00:00",6,18314,"","","2020-10-05 16:00:08"
21871,24,1395,"10:00:00","11:00:00",13,19938,"","","2020-10-05 16:00:08"
21872,24,1396,"16:00:00","17:00:00",13,19882,"","","2020-10-05 16:00:08"
21873,24,1397,"19:00:00","20:00:00",14,18549,"","","2020-10-05 16:00:08"
21874,24,1398,"19:00:00","20:00:00",13,24310,"","","2020-10-05 16:00:08"
21875,24,1399,"19:00:00","20:00:00",10,18594,"","","2020-10-05 16:00:08"
21876,24,1400,"16:00:00","17:00:00",12,19883,"","","2020-10-05 16:00:08"
21877,24,1401,"19:00:00","20:00:00",13,19788,"","","2020-10-05 16:00:08"
21878,24,1402,"16:00:00","17:00:00",13,24313,"","","2020-10-05 16:00:08"
21879,24,1403,"10:00:00","11:00:00",13,19939,"","","2020-10-05 16:00:08"
21880,24,1404,"16:00:00","17:00:00",13,19884,"","","2020-10-05 16:00:08"
21881,24,1405,"19:00:00","20:00:00",13,24315,"","","2020-10-05 16:00:08"
21883,24,1407,"19:00:00","20:00:00",10,18595,"","","2020-10-05 16:00:08"
21884,24,1408,"16:00:00","17:00:00",13,19885,"","","2020-10-05 16:00:08"
21885,24,1409,"16:00:00","17:00:00",13,19886,"","","2020-10-05 16:00:08"
21886,24,1410,"19:00:00","20:00:00",13,24318,"","","2020-10-05 16:00:08"
21887,24,1411,"10:00:00","11:00:00",13,24319,"","","2020-10-05 16:00:08"
21913,24,1550,"19:00:00","20:00:00",7,19082,"","","2020-10-05 16:00:04"
21914,24,1551,"19:00:00","20:00:00",6,18939,"","","2020-10-05 16:00:04"
21915,24,1552,"19:00:00","20:00:00",10,18614,"","","2020-10-05 16:00:04"
21917,24,1554,"19:00:00","20:00:00",10,19083,"{""11"":1}","","2020-10-05 16:00:04"
21918,24,1555,"17:45:00","18:45:00",7,18935,"","","2020-10-05 16:00:05"
21919,24,1556,"19:00:00","20:00:00",7,19084,"","","2020-10-05 16:00:05"
21920,24,1557,"19:00:00","20:00:00",9,18615,"","","2020-10-05 16:00:05"
21922,24,1561,"19:00:00","20:00:00",12,19085,"","","2020-10-05 16:00:05"
21923,24,1562,"19:00:00","20:00:00",12,19086,"","","2020-10-05 16:00:06"
21924,24,1563,"19:00:00","20:00:00",8,18940,"","","2020-10-05 16:00:06"
21925,24,1564,"19:00:00","20:00:00",12,18616,"","","2020-10-05 16:00:06"
21926,24,1565,"19:00:00","20:00:00",7,18281,"","","2020-10-05 16:00:06"
21927,24,1566,"19:00:00","20:00:00",12,19087,"","","2020-10-05 16:00:06"
21928,24,1567,"17:45:00","18:45:00",7,18936,"","","2020-10-05 16:00:06"
